Home & Clothing Care	Storage & Organization	43	60	0.7166666666666667
Home & Clothing Care	Irons & Clothing Care	17	60	0.2833333333333333
Home Improvement	Heating & Cooling	289503	790865	0.36605868258173013
Home Improvement	Safety & Security	35477	790865	0.04485847774272474
Home Improvement	Automotive	201785	790865	0.25514468335303747
Home Improvement	Tools & Hardware	264100	790865	0.3339381563225076
None	None	0	0	
Pet Supplies	Clothes & Accessories	315711	1197147	0.26371949309483295
Pet Supplies	Collars & Leashes	65343	1197147	0.05458226934536861
Pet Supplies	Beds & Furniture	337283	1197147	0.2817390011418815
Pet Supplies	Food & Treats	21650	1197147	0.018084662952837036
Pet Supplies	Toys	407505	1197147	0.34039679337625206
Pet Supplies	Grooming	61	1197147	5.095447760383646E-5
Pet Supplies	Bowls & Feeders	876	1197147	7.317397111632907E-4
Pet Supplies	Clean Up	2099	1197147	0.0017533352211549626
Pet Supplies	Houses & Habitats	28020	1197147	0.023405646925565533
Pet Supplies	Travel	18599	1197147	0.015536103753340233
Sports & Fitness	Outdoor Recreation	79268	381481	0.20779016517205312
Sports & Fitness	Fitness	86635	381481	0.22710174294394742
Sports & Fitness	Sporting Goods	215578	381481	0.5651080918839995
Electronics	Electronics Accessories	2293863	4528063	0.5065881371350178
Electronics	Home Audio	381022	4528063	0.08414679742750929
Electronics	Headphones & Portable Audio	514263	4528063	0.113572403917525
Electronics	Movies & Home Entertainment	6321	4528063	0.0013959611427667856
Electronics	Video Games & Consoles	524475	4528063	0.11582767289236037
Electronics	Home Automation	258171	4528063	0.057015770319450064
Electronics	Home Electronics	215173	4528063	0.04751987770488176
Electronics	Camera & Video	104727	4528063	0.023128432621189236
Electronics	Tablets & Computers	54904	4528063	0.012125272992005632
Electronics	Vehicles	54926	4528063	0.012130131581649814
Electronics	TV & Home Theater	120218	4528063	0.026549542265644273
Clothing	Bottoms	158928526	562876985	0.28235037181347894
Clothing	Dress Suits	65789	562876985	1.1687988983951795E-4
Clothing	Tops	234576192	562876985	0.41674504065928364
Clothing	Outerwear	46253341	562876985	0.08217308973824894
Clothing	Accessories	8245	562876985	1.4647960779565362E-5
Clothing	Socks & Hosiery	20935393	562876985	0.03719354949287898
Clothing	Dresses	11040864	562876985	0.019615056742815662
Clothing	In Progress	25	562876985	4.441467792469788E-8
Clothing	Clothing Sets	9118366	562876985	0.01619957156358063
Clothing	Swimsuits	910238	562876985	0.001617117104192846
Clothing	Sleepwear	31245785	562876985	0.055510859091174244
Clothing	Outfits	166	562876985	2.949134614199939E-7
Clothing	One-Piece	2257326	562876985	0.004010336290441863
Clothing	Underwear	47536729	562876985	0.08445314032514582
Lighting	Other Lighting	598996	609168	0.983301814934468
Lighting	Lamps & Lamp Shades	2682	609168	0.004402726341501852
Lighting	Wall Lights	7151	609168	0.011738961994064035
Lighting	Ceiling Lights	339	609168	5.564967299661177E-4
Patio & Garden	Lawn & Garden	20059	24416	0.8215514416775884
Patio & Garden	Outdoor Heating	2466	24416	0.10099934469200524
Patio & Garden	Grilling	1891	24416	0.07744921363040629
Books	Children's Books	1054058	1230095	0.8568915408972477
Books	Other Books	1463	1230095	0.001189339034789996
Books	Novelty Books	174574	1230095	0.14191912006796223
